Date,Open,High,Low,Close,Adj Close,Volume
2020-09-08,196.100006,196.240005,192.460007,192.460007,192.460007,477390
2020-09-09,193.500000,195.720001,192.630005,194.500000,194.500000,259630
2020-09-10,195.279999,195.380005,191.100006,192.399994,192.399994,278200
2020-09-11,191.990005,193.100006,190.360001,192.500000,192.500000,269120
2020-09-14,192.839996,194.940002,192.399994,192.399994,192.399994,329520
2020-09-15,192.399994,195.500000,192.399994,193.500000,193.500000,285650
2020-09-16,194.500000,194.880005,191.869995,192.000000,192.000000,182690
2020-09-17,190.250000,191.500000,188.699997,190.399994,190.399994,373180
2020-09-18,191.160004,193.800003,190.589996,193.800003,193.800003,252190
2020-09-21,192.800003,192.800003,188.809998,191.029999,191.029999,344020
2020-09-22,191.899994,195.970001,191.270004,195.800003,195.800003,349920
2020-09-23,197.479996,198.229996,194.789993,196.020004,196.020004,378110
2020-09-24,194.690002,196.050003,192.339996,193.020004,193.020004,213850
2020-09-25,194.839996,198.000000,193.979996,198.000000,198.000000,367310
2020-09-28,200.000000,205.039993,199.360001,204.500000,204.500000,476582
2020-09-29,204.500000,207.699997,202.330002,207.699997,207.699997,362404
2020-09-30,204.139999,206.000000,202.639999,203.979996,203.979996,258381
2020-10-01,206.000000,207.100006,204.779999,206.800003,206.800003,221166
2020-10-02,203.899994,206.300003,201.500000,205.399994,205.399994,260605
2020-10-05,206.000000,206.690002,203.720001,205.020004,205.020004,248145
2020-10-06,204.000000,206.139999,201.830002,203.449997,203.449997,253646
2020-10-07,203.979996,207.839996,203.550003,207.610001,207.610001,249019
2020-10-08,208.259995,209.500000,207.139999,208.000000,208.000000,204756
2020-10-09,208.000000,208.190002,206.229996,207.199997,207.199997,184192
2020-10-13,211.500000,213.589996,210.750000,212.399994,212.399994,441680
2020-10-14,211.020004,212.000000,209.639999,211.270004,211.270004,155955
2020-10-15,209.509995,211.919998,208.830002,211.919998,211.919998,149735
2020-10-16,211.919998,213.949997,211.669998,212.610001,212.610001,110739
2020-10-19,212.300003,212.610001,206.850006,207.860001,207.860001,295315
2020-10-20,207.860001,209.199997,207.029999,208.679993,208.679993,110493
2020-10-21,208.199997,209.550003,207.220001,208.300003,208.300003,293860
2020-10-22,207.619995,209.240005,205.889999,209.199997,209.199997,203923
2020-10-23,209.539993,210.600006,208.500000,210.500000,210.500000,232297
2020-10-26,209.500000,209.550003,204.710007,206.940002,206.940002,163031
2020-10-27,207.000000,208.990005,206.820007,208.600006,208.600006,190723
2020-10-28,206.389999,206.440002,203.009995,204.000000,204.000000,272351
2020-10-29,204.419998,207.770004,203.490005,206.500000,206.500000,189883
2020-10-30,204.699997,206.000000,200.770004,202.600006,202.600006,380996
2020-11-03,205.059998,210.500000,203.990005,210.000000,210.000000,271032
2020-11-04,210.589996,213.490005,210.139999,211.000000,211.000000,330332
2020-11-05,211.600006,212.149994,209.800003,210.500000,210.500000,204574
2020-11-06,209.500000,210.449997,203.570007,204.300003,204.300003,251162
2020-11-09,206.970001,212.050003,206.199997,206.199997,206.199997,223162
2020-11-10,206.199997,208.100006,203.600006,208.100006,208.100006,334398
2020-11-11,209.660004,210.080002,207.330002,210.000000,210.000000,169914
2020-11-12,207.660004,209.500000,207.100006,209.500000,209.500000,200294
2020-11-13,210.240005,212.720001,209.949997,212.500000,212.500000,362613
2020-11-16,211.199997,213.399994,210.779999,213.399994,213.399994,198175
2020-11-17,211.199997,211.500000,207.880005,211.009995,211.009995,371433
2020-11-18,207.889999,208.500000,206.089996,206.919998,206.919998,355108
2020-11-19,206.919998,207.100006,204.149994,205.100006,205.100006,427578
2020-11-23,208.300003,211.000000,206.309998,211.000000,211.000000,271439
2020-11-24,211.000000,212.149994,209.729996,211.490005,211.490005,169573
2020-11-25,211.300003,211.300003,208.130005,209.000000,209.000000,267422
2020-11-26,209.490005,211.000000,207.979996,208.500000,208.500000,211714
2020-11-27,210.410004,212.000000,209.589996,211.000000,211.000000,148652
2020-11-30,209.470001,210.600006,207.699997,210.000000,210.000000,189648
2020-12-01,210.000000,210.440002,206.559998,207.000000,207.000000,373062
2020-12-02,207.000000,208.100006,205.529999,207.350006,207.350006,219341
2020-12-03,207.110001,207.110001,203.789993,205.000000,205.000000,425530
2020-12-04,204.929993,206.860001,204.500000,205.899994,205.899994,303287
2020-12-07,205.399994,205.399994,202.270004,203.600006,203.600006,495949
2020-12-08,203.289993,205.960007,202.110001,205.399994,205.399994,187651
2020-12-09,205.610001,206.360001,204.380005,204.699997,204.699997,132303
2020-12-10,202.500000,203.139999,199.350006,199.800003,199.800003,634293
2020-12-11,199.309998,201.160004,198.699997,200.649994,200.649994,1262576
2020-12-14,200.500000,203.960007,200.229996,201.199997,201.199997,313407
2020-12-15,201.199997,203.440002,201.199997,203.199997,203.199997,297025
2020-12-16,203.929993,205.600006,202.940002,203.300003,203.300003,441729
2020-12-17,203.470001,204.389999,202.460007,203.000000,203.000000,436574
2020-12-18,204.250000,205.839996,202.580002,203.050003,203.050003,139385
2020-12-21,203.990005,205.000000,202.389999,204.399994,204.399994,116836
2020-12-22,206.000000,206.300003,204.399994,205.009995,205.009995,307140
2020-12-23,205.850006,209.229996,205.600006,207.320007,207.320007,241587
2020-12-28,208.729996,214.289993,208.729996,211.500000,211.500000,474187
2020-12-29,211.750000,211.919998,208.550003,210.000000,210.000000,158042
2020-12-30,210.000000,211.199997,208.300003,210.039993,210.039993,211507
2021-01-04,210.039993,211.500000,208.000000,210.800003,210.800003,136343
2021-01-05,212.500000,213.899994,211.020004,212.899994,212.899994,273897
2021-01-06,212.860001,218.130005,211.199997,215.020004,215.020004,360305
2021-01-07,218.490005,223.139999,216.520004,222.350006,222.350006,445146
2021-01-08,221.679993,224.000000,220.009995,224.000000,224.000000,327060
2021-01-11,225.210007,227.240005,224.500000,226.500000,226.500000,242842
2021-01-12,226.500000,226.500000,218.429993,219.000000,219.000000,346976
2021-01-13,218.470001,219.889999,216.509995,218.500000,218.500000,328476
2021-01-14,217.949997,218.979996,213.410004,214.020004,214.020004,240876
2021-01-15,215.750000,217.000000,213.500000,215.399994,215.399994,987080
2021-01-18,215.759995,218.009995,214.899994,215.139999,215.139999,149218
2021-01-19,216.539993,220.479996,216.199997,220.240005,220.240005,508449
2021-01-20,219.440002,221.990005,218.830002,221.350006,221.350006,377600
2021-01-21,220.000000,225.000000,219.139999,223.830002,223.830002,411988
2021-01-22,224.020004,228.389999,223.929993,226.899994,226.899994,298687
2021-01-26,226.899994,227.479996,221.800003,223.679993,223.679993,232128
